driver_id,delivery_distance_meters
4310.0,2669.0
4313.0,916613.0
4315.0,8818.0
4331.0,123586.0
4347.0,1038969.0
4350.0,317653.0
4381.0,122727.0
4387.0,10905.0
4400.0,9640.0
4429.0,3883.0
4431.0,157670.0
4448.0,2774.0
4468.0,68625.0
4481.0,30155.0
4482.0,829.0
4488.0,31738.0
4507.0,44679.0
4527.0,124257.0
4528.0,72352.0
4532.0,781707.0
4536.0,580979.0
4567.0,272400.0
4586.0,594418.0
4592.0,4302.0
4613.0,1687.0
4678.0,32216.0
4692.0,2583895.0
4694.0,129577.0
4702.0,40759.0
4723.0,234893.0
4734.0,161922.0
4737.0,3189589.0
4756.0,8611.0
4771.0,195757.0
4774.0,1796.0
4781.0,990.0
4790.0,88098.0
4796.0,23140.0
4799.0,667124.0
4806.0,352279.0
4815.0,3869.0
4824.0,609486.0
4867.0,34306.0
4896.0,188312.0
4898.0,83573.0
4906.0,55607.0
4929.0,167423.0
4937.0,142917.0
4939.0,333093.0
4941.0,778580.0
4948.0,6305.0
4950.0,606813.0
4951.0,9283.0
4977.0,10911.0
4979.0,109179.0
4988.0,210825.0
5008.0,204917.0
5018.0,194163.0
5027.0,8511.0
5028.0,93803.0
5030.0,935426.0
5037.0,1154982.0
5042.0,42414.0
5046.0,531859.0
5052.0,851614.0
5058.0,131234.0
5096.0,110033.0
5098.0,200897.0
5101.0,20777.0
5107.0,99928.0
5110.0,171.0
5126.0,83678.0
5128.0,1436689.0
5141.0,3705.0
5149.0,68295.0
5163.0,196603.0
5165.0,15898.0
5171.0,1631654.0
5212.0,173365.0
5226.0,223601.0
5232.0,755004.0
5235.0,543498.0
5236.0,402407.0
5250.0,475649.0
5261.0,10329.0
5267.0,342523.0
5269.0,1147086.0
5271.0,67529.0
5274.0,190779.0
5276.0,1251092.0
5277.0,8504.0
5280.0,152176.0
5300.0,5350.0
5303.0,7571.0
5308.0,159996.0
5315.0,160332.0
5349.0,2216835.0
5353.0,9812.0
5355.0,103977.0
5363.0,4967.0
5364.0,521550.0
5367.0,2365.0
5368.0,25332.0
5380.0,33255.0
5394.0,1150549.0
5402.0,111703.0
5403.0,1710823.0
5410.0,26877.0
5417.0,6802.0
5419.0,51587.0
5435.0,152601.0
5437.0,23744.0
5445.0,296101.0
5447.0,255205.0
5448.0,352533.0
5455.0,58737.0
5456.0,1115089.0
5468.0,152936.0
5494.0,5471.0
5501.0,159235.0
5521.0,25011.0
5524.0,347123.0
5525.0,46287.0
5527.0,2256958.0
5528.0,1258456.0
5538.0,1997.0
5539.0,25044.0
5540.0,46291.0
5555.0,2141750.0
5567.0,67731.0
5574.0,392828.0
5606.0,1124477.0
5607.0,425980.0
5618.0,47488.0
5623.0,1170207.0
5628.0,911661.0
5630.0,3087.0
5689.0,17753.0
5714.0,56208.0
5715.0,39254.0
5716.0,9698.0
5727.0,129307.0
5738.0,47723.0
5748.0,110632.0
5776.0,60223.0
5777.0,402.0
5784.0,44403.0
5785.0,80562.0
5792.0,2510.0
5795.0,8569.0
5796.0,369518.0
5798.0,14799.0
5800.0,88527.0
5801.0,110748.0
5810.0,40815.0
5813.0,26343.0
5816.0,98965.0
5841.0,3614.0
5846.0,50107.0
5854.0,19550.0
5866.0,144003.0
5868.0,331770.0
5869.0,22671.0
5884.0,62620.0
5890.0,779.0
5907.0,222452.0
5913.0,71078.0
5914.0,1224734.0
5918.0,63731.0
5919.0,31694.0
5941.0,689.0
5942.0,27164.0
5946.0,335200.0
5947.0,70507.0
5953.0,61753.0
5956.0,55713.0
5965.0,1389479.0
5978.0,12366.0
5985.0,2772.0
5998.0,10718.0
6002.0,5198.0
6013.0,6162.0
6016.0,8381.0
6017.0,38880.0
6023.0,48168.0
6026.0,155949.0
6038.0,50629.0
6045.0,209904.0
6066.0,142075.0
6080.0,219413.0
6081.0,118359.0
6089.0,541858.0
6106.0,155378.0
6125.0,7010.0
6128.0,80511.0
6131.0,192019.0
6136.0,4919.0
6140.0,34043.0
6144.0,1147064.0
6153.0,4895.0
6161.0,528330.0
6165.0,81789.0
6170.0,437528.0
6172.0,826887.0
6196.0,320488.0
6201.0,53575.0
6210.0,4503.0
